"CA Owner","Parent Name","Certificate Name","Certificate Issuer Common Name","Certificate Issuer Organization","Certificate Subject Common Name","Certificate Subject Organization","Certificate Serial Number","SHA-256 Fingerprint","Subject + SPKI SHA256","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Extended Key Usage","CP/CPS Same As Parent","Certificate Policy (CP)","Certification Practice Statement (CPS)","Audits Same As Parent","Standard Audit","BR Audit","Auditor","Standard Audit Statement Dt","Comments","Subordinate CA Owner"
"AC Camerfirma, S.A.","AC Camerfirma","RACER","AC Camerfirma","AC Camerfirma SA","RACER","AC Camerfirma SA","01","F1712177935DBA40BDBD99C5F753319CF6293549B7284741E43916AD3BFBDD75","80C14510C26519770718D4086A713C32DBC2209FF30B2AAA36523CC310424096","2003 Dec 04","2023 Dec 04","RSA 2047 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","AC Camerfirma Portugal - 2015","DigitalSign Primary CA","AC Camerfirma Portugal - 2015","AC Camerfirma S.A.","DigitalSign Primary CA","DigitalSign Certificadora Digital","04BC072245696794","8101C3BAF9D0EDD71180D1F37D6D75B77B0E8CFB593D342C3A31E467985D4A74","3506C7E1DAB9E665DE4B8254D12A0C4E09B783ADD0FDD5DF3677F4DDEE807037","2015 Nov 25","2037 Nov 09","RSA 4096 bits","SHA512WithRSA","(not present)","","","https://www.digitalsign.pt/repository/media/files/Repository/digitalsign_cps.pdf","","https://www.csqa.it/getattachment/Sicurezza-ICT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/CSQA-Attestation-DIGITALSIGN-2020-18103-signed-rev-1.pdf.aspx?lang=it-IT","https://www.csqa.it/getattachment/Sicurezza-ICT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/CSQA-Attestation-DIGITALSIGN-2020-18103-signed-rev-1.pdf.aspx?lang=it-IT","CSQA Certificazioni srl","2020.10.20","","DigitalSign"
"AC Camerfirma, S.A.","Chambers of Commerce Root","AC CAMERFIRMA AAPP","Chambers of Commerce Root","AC Camerfirma SA CIF A82743287","AC CAMERFIRMA AAPP","AC CAMERFIRMA S.A.","0D","8390E70357E9B573CA3DD29DBDDC237ECAF936782CA3389C7943FBC2B7FAA0B6","3BECAB8A54C157ECB384842387879F634C797B2AD0E04D78A6BCD352E359555A","2010 Feb 23","2022 Feb 20","RSA 2048 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root","AC Camerfirma Certificados Camerales","Chambers of Commerce Root","AC Camerfirma SA CIF A82743287","AC Camerfirma Certificados Camerales","AC Camerfirma SA","05","C7D84381E11F7C5746771AF5B050DC51FC6FDAD6F6F35BB53A3DE913822EA09E","C17FF93E2281ED8D8D889D70EE32EC4430B000B4B1D04D73748961AADA0DA7E4","2004 Feb 09","2034 Feb 09","RSA 2048 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root","AC Camerfirma Express Corporate Server","Chambers of Commerce Root","AC Camerfirma SA CIF A82743287","AC Camerfirma Express Corporate Server","AC Camerfirma SA","0D","71987F75F4A18AF9097A45D5458D912C88359386066F63C6FC0A8AABE699C023","4643BC55A39D9FD786481E2B2EC31640B0CD014BE80918864EC1C259A888664A","2007 Nov 15","2032 Nov 08","RSA 2048 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Camerfirma AAPP II - 2014","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Camerfirma AAPP II - 2014","AC Camerfirma S.A.","1548D054B8A842BA","7239D2F770FAFF3B1CF8BE2A05EC03EDEAAC053B554F90D36921155BA8051981","B42A873E41BD401E1080EC479C9A466246B3042139E22B30F14CAF810939E835","2014 Dec 16","2037 Dec 15","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageEmailProtection,ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Camerfirma Corporate Server II - 2015","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Camerfirma Corporate Server II - 2015","AC Camerfirma S.A.","621FF31C489BA136","66EAE2709B54CDD1693177B1332FF036CDD0F723DB3039ED311555A6CBF5FF3E","11A961CCE4BEB56EE73230FE6327BD1F1415CE9334D5EF2E682F6490D8183F03","2015 Jan 15","2037 Dec 15","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageEmailProtection,ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Camerfirma TSA - 2013","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Camerfirma TSA - 2013","AC Camerfirma S.A.","236D365DE39A9C45","AB49C64AC5D27F9B3688CA80AA38927F1C37CD165964140863F34327CE05022C","6D288AC53199AB64FA426AC2427BB90AD76EC2D800E85C5EADB116D721111BF4","2013 Feb 25","2037 Feb 19","RSA 4096 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Chambers of Commerce Root - 2008","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","00D9083FBBA967CA1A","3666F8049140FDC0A65E809B281A3BE3B10DAFEEFD76B9DDC272A93E83CA5B99","849AD3279D9B805A288339468C417744AC1CE2758A6E283A446685384D5D6CD2","2011 Dec 07","2038 Jul 31","RSA 4096 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","DigitalSign Primary CA","DigitalSign CA","DigitalSign Primary CA","DigitalSign Certificadora Digital","DigitalSign CA","DigitalSign Certificadora Digital","03981F51E2D68E32","9AB25C1E795C85A321419D3062F84B52132BAA8F718843A83E31FBF99FEDC3D7","6C2FF73B4476CCECFAA5B7641D54B3C9BFF069089F401771D5A9D663B1603B4D","2015 Nov 25","2037 Oct 30","RSA 4096 bits","SHA512WithRSA","ExtKeyUsageEmailProtection,ExtKeyUsageClientAuth","TRUE","","","TRUE","","","CSQA Certificazioni srl","","","DigitalSign"
