"CA Owner","Parent Name","Certificate Name","Certificate Issuer Common Name","Certificate Issuer Organization","Certificate Subject Common Name","Certificate Subject Organization","Certificate Serial Number","SHA-256 Fingerprint","Subject + SPKI SHA256","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Extended Key Usage","CP/CPS Same As Parent","Certificate Policy (CP)","Certification Practice Statement (CPS)","Audits Same As Parent","Standard Audit","BR Audit","Auditor","Standard Audit Statement Dt","Comments","Subordinate CA Owner"
"Actalis","Actalis Authentication Root CA","Actalis Client Authentication CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Client Authentication CA G1","Actalis S.p.A./03358520967","2CD48AD3B11E0F89","ABDEEC53149098F8A0B07EFD972B345A89BEDE8EDE6975E61BE95EE026DA7EFA","8719C147D8F0C83253766B807D706C5AD2E4C0EDFD336D90E5CE4C12EA5C3411","2015 May 14","2030 May 14","RSA 2048 bits","SHA256WithRSA","","","https://www.actalis.com/caact-free-s-mime-certificates-policy-en
https://www.actalis.com/corporate-s-mime-certificates-policy-en","https://www.actalis.com/cps-for-ssl-server-and-code-signing","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Client Authentication CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Client Authentication CA G3","Actalis S.p.A.","17103EDE3D8A1CB5CA065193E7CA436B","BB4D3EE661E5029409DB6740B9951494A7F22A7BC0FDC1A1900C07A4781F1419","B39C43CB3CDE0BC969900269E7126B9B7C32996F90F92BF5A1E6B5819F735DF1","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageEmailProtection","","https://www.actalis.com/caact-free-s-mime-certificates-policy-en
https://www.actalis.com/corporate-s-mime-certificates-policy-en","https://www.actalis.com/cps-for-ssl-server-and-code-signing","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Domain Validation Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Domain Validation Server CA G3","Actalis S.p.A.","12737797A315886DFEB76C7E6A5A0354","3450B6D38290C3CA5D7BB38B71495BBF72C6D0C44DBA292245F9BCA9843A9FFF","479C52C9E708E5A6535A42E6B974F362E7366E70536B8EF4AEB177434E12FDF1","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis DV Server ACME CA G1","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis DV Server ACME CA G1","Actalis S.p.A.","287BCABA4F75D91BFA05BB1D74F3DD90","C0A9FB425D0EDEBC72BC6C47AD3D3A2B68245ED1D59A5883BF19CE9F8C4DED1F","340CD1C5C8ABDAD318C1055315A42F2C02F950C2690C7AE6F481484869F8B9F0","2023 Jun 26","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Extended Validation Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Extended Validation Server CA G3","Actalis S.p.A.","03A8A1C2426A2544B92B0B98A61D7FC5","124EAAF26F570C4FB4D89F5D61078F15B885345FCAF0C57F3477D8C63B5AB26F","43705F984F68777531CF73E86A1A2CE7B62D7E37A9C8A661168E5653FC36BFB8","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Actalis","Actalis Authentication Root CA","Actalis Organization Validated Server CA G3","Actalis Authentication Root CA","Actalis S.p.A./03358520967","Actalis Organization Validated Server CA G3","Actalis S.p.A.","5C3B3F37ADFC28FE0FCFD3ABF83F8551","931AAA1EC9B2BA0FA59A82302F4F830628C86D9B2D2A50A4D1B2CE895C4CC648","A89CE4285389E3F3ED1CC047EF134C16B14E3DCB33D4CB6C1F11B495BEF8BED5","2020 Jul 06","2030 Sep 22","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"Agence Nationale de Certification Electronique","TunTrust Root CA","TunTrust Root CA","TunTrust Root CA","Agence Nationale de Certification Electronique","TunTrust Root CA","Agence Nationale de Certification Electronique","27B4BD1D08289F6D78E2CEDCEEF25DCA3A702990","BABBCA986946352CF9BF382E880652F4E94DBC4FEDD0F1CC21FA9973C96D65AB","E2B4232FD24F4066F48DE6111067236E984B0074806920E16EC10EE8A5761863","2019 Apr 18","2044 Apr 18","RSA 4096 bits","SHA256WithRSA","","TRUE","","","TRUE","","","","","",""
"Amazon Trust Services","Amazon Root CA 1","Amazon RSA 2048 M01","Amazon Root CA 1","Amazon","Amazon RSA 2048 M01","Amazon","077312380B9D6688A33B1ED9BF9CCDA68E0E0F","5338EBEC8FB2AC60996126D3E76AA34FD0F3318AC78EBB7AC8F6F1361F484B33","05AC71CF2BA7852C9F0C64C1B61CD4423E3C4086263762AA13C2D45657F93F8A","2022 Aug 23","2030 Aug 23","RSA 2048 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","","","","https://bugzilla.mozilla.org/attachment.cgi?id=9440343","https://bugzilla.mozilla.org/attachment.cgi?id=9440344","BDO International Limited","2024.11.27","","DigiCert"
"Amazon Trust Services","Amazon Root CA 1","Amazon RSA 2048 M02","Amazon Root CA 1","Amazon","Amazon RSA 2048 M02","Amazon","0773124A4BCBD44EC7B53BEAF194842D3A0FA1","B0F330A31A0C50987E1C3A7BB02C2DDA682991D3165B517BD44FBA4A6020BD94","9DC8AE97E76946F1E3CDD3F5C6ACD566C45CCF5331E845C232676A987A34151D","2022 Aug 23","2030 Aug 23","RSA 2048 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","","","","https://bugzilla.mozilla.org/attachment.cgi?id=9440343","https://bugzilla.mozilla.org/attachment.cgi?id=9440344","BDO International Limited","2024.11.27","","DigiCert"
"Amazon Trust Services","Amazon Root CA 1","Amazon RSA 2048 M03","Amazon Root CA 1","Amazon","Amazon RSA 2048 M03","Amazon","0773124CD406D267C0991CDD299A9F38317985","BF8A69027BCC8D2D42A6E6D25BDD4873F6A34B8F90EDF07E86C5D6916DA0B933","25E0C1360355085CB45CBDE361FDF7E874E3A0D76913C4C61B59F7691D73F2F2","2022 Aug 23","2030 Aug 23","RSA 2048 bits","SHA256WithRSA","ExtKeyUsageServerAuth,ExtKeyUsageClientAuth","","","","","https://bugzilla.mozilla.org/attachment.cgi?id=9440343","https://bugzilla.mozilla.org/attachment.cgi?id=9440344","BDO International Limited","2024.11.27","","DigiCert"
